Title,Year,Summary,Short Summary,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast,Genres
Suicide Squad: Hell to Pay,2018,Task Force X targets a powerful mystical object that they will risk their lives to steal.,Task Force X targets a powerful mystical object that they will risk their lives to steal.,tt7167602,86,EPZZvk-wbGE,7.2,https://m.media-amazon.com/images/M/MV5BZGYzYTZmODktNTI5MS00M2YyLThlMTQtYzY3M2ViODc2OGE2XkEyXkFqcGdeQXVyMjUzNDMwODc@._V1_.jpg,Sam Liu,Alan Burnett,Christian Slater|Vanessa Williams,Drama
Wildling,2018,"Anna spends her entire childhood under the care of a mysterious man she only knows as Daddy. He keeps her locked in an attic making her fear the Wildling, a child-eating monster that roams the outside. At age 16, Anna is freed by small-town sheriff Ellen Cooper who helps her start a new life as a normal teenager. But as Anna's body begins to blossom, her childhood nightmares return with a vengeance, leading to the conclusion of a terrifying secret.",A blossoming teenager uncovers the dark secret behind her traumatic childhood.,tt5085924,92,eyl1Wf90AgY,6.1,https://m.media-amazon.com/images/M/MV5BYjM2MGVmN2MtMDc3Ny00Nzk0LWFhMGUtNGQ0MDM5OTc5NDZlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Fritz Böhm,Fritz Böhm,Bel Powley|Brad Dourif|Liv Tyler,Drama|Fantasy|Horror
The Humanity Bureau,2017,A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.,A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.,tt6143568,95,kUH8JGhRzPY,6.1,https://m.media-amazon.com/images/M/MV5BMjQwNTk0NzAzNl5BMl5BanBnXkFtZTgwOTkyNzA2NDM@._V1_.jpg,Rob W. King,Dave Schultz,Jakob Davies|Nicolas Cage|Sarah Lind,Action|Adventure
Farewell Ferris Wheel,2016,"Farewell, Ferris Wheel examines the link between America's carnival industry and a small Mexican town that legally provides one third of the carnival's labor. However, increased regulations are compromising this longstanding connection, putting both the industry and its workers in jeopardy.",Farewell Ferris Wheel explores how the U.S. Carnival industry fights to keep itself alive by legally employing Mexican migrant workers with the controversial H-2B guestworker visa.,tt2349677,72,-K2m6AKNB-g,7.4,https://m.media-amazon.com/images/M/MV5BMTAxNjY2MTUtYjZjNC00NDViLTlmNzMtNDBkMGJhOGYxYTc4XkEyXkFqcGdeQXVyMjc5MTI5MjM@._V1_.jpg,Miguel 'M.i.G.' Martinez,Miguel 'M.i.G.' Martinez,,Documentary
Don't Talk to Irene,2017,"Irene must endure 2 weeks of community service at a retirement home. Following her passion for cheerleading, she secretly signs up the senior residents to audition for a dance-themed reality show to prove that you don't need to be physically ""perfect"" to be perfectly AWESOME.","Irene must endure 2 weeks of community service at a retirement home. Following her passion for cheerleading, she secretly signs up the senior residents to audition for a dance-themed ...",tt5030452,90,lK48UxWuUho,6.4,https://m.media-amazon.com/images/M/MV5BNmZjZmQ4NDYtYjY4YS00YWFlLWEwMTItMzhmNDM2OTBjNGQ1XkEyXkFqcGdeQXVyNTU0NzI3OQ@@._V1_.jpg,Pat Mills,Pat Mills,Anastasia Phillips|Bruce Gray|Michelle McLeod,Comedy
Blood Road,2017,The mysteries surrounding her father's death in the Vietnam war lead ultra-endurance mountain biker Rebecca Rusch on an emotional journey as she pedals 1200 miles of the Ho Chi Minh trail.,The mysteries surrounding her father's death in the Vietnam war lead ultra-endurance mountain biker Rebecca Rusch on an emotional journey as she pedals 1200 miles of the Ho Chi Minh trail.,tt6900092,96,XCzVqiN950M,6.9,https://m.media-amazon.com/images/M/MV5BOTAyZGEzOTUtZjFmNi00ZjMyLWIzYTEtY2NmMDk1ZTljNGQxXkEyXkFqcGdeQXVyNzI0NTkyNzY@._V1_.jpg,Nicholas Schrunk,Mark Anders,Huyen Nguyen|Ian Adamson|Rebecca Rusch,Documentary
Andre the Giant,2018,"A look at the life and career of professional wrestler André Roussimoff, who gained notoriety in the 1980s as Andre the Giant.","A look at the life and career of professional wrestler André Roussimoff, who gained notoriety in the 1980s as Andre the Giant.",tt6543420,85,f_jTeuajas0,8.2,https://m.media-amazon.com/images/M/MV5BMzNlMDM3OGQtYmNiZC00MWE2LWE2YzQtZjQ5ZTI3OWJlZjllXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_.jpg,Jason Hehir,Robin Wright,Cary Elwes,Documentary|Biography|Sport
Dead on Arrival,2017,"A pharmaceutical sales rep visits a small town in Louisiana on business. He finds himself in a dark world of corruption and murder with 24 hours to live, running from the police, the mob and a sheriff that wants him dead.","A pharmaceutical sales rep visits a small town in Louisiana on business. He finds himself in a dark world of corruption and murder with 24 hours to live, running from the police, the mob and a sheriff that wants him dead.",tt5903088,97,8jJ-kC-rq0Q,6.9,https://m.media-amazon.com/images/M/MV5BMWU4MGE1NDctMzA4NC00OGJiLThhYWYtNzRjYzM4ZmM0ZTAzXkEyXkFqcGdeQXVyMjA0NjgxOTk@._V1_.jpg,Stephen C. Sepher,Stephen C. Sepher,Christa B. Allen|D.B. Sweeney|Scottie Thompson,Action
Big Time,2017,"Bjarke Ingels started out as a young man dreaming of creating cartoons. Now, he has been named ""one of architecture's biggest innovators"" by The Wall Street Journal and one of The 100 Most Influential People on the planet by TIME Magazine. BIG TIME follows Bjarke during the course of 7 years (2009-2016), while he struggles to finish his biggest project so far. We are let into Bjarke's creative processes as well as the endless compromises that his work entails, and we are on the side when his personal life starts putting pressure on him, too. In addition to the recently opened architectural marvel VIA 57 West (625 West 57th Street), Bjarke Ingels' company Bjarke Ingels Group (BIG) was given the task of designing and building one of the skyscrapers which will replace Two World Trade Center in Manhattan. While Bjarke is creating these buildings, which will change the New York skyline, he is hit by health-related issues. The Film offers an intimate look into the innovative and ambitious ...","BIG TIME follows Bjarke Ingels during the course of 7 years (2009-2016), while he struggles to finish his biggest project so far. We are let into Bjarke's creative processes as well as the endless compromises that his work entails.",tt7630164,93,VK0mGdMKMW4,6.2,https://m.media-amazon.com/images/M/MV5BMmUwZWMxOTgtNmY1Ny00ZTRiLWIzY2UtMWVjYWEyYjE4ZDNjXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_.jpg,Kaspar Astrup Schröder,Bjarke Ingels,Elisabet Ingels,Documentary
Adventures in Babysitting,2016,"Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally runs away into the big city without any supervision.","Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally runs away into the big city without any supervision.",tt4456850,105,BbTTXUMVTTU,6.1,https://m.media-amazon.com/images/M/MV5BYmEwOTAwZGUtMDRmMi00Mzg4LWIyY2UtMWIxYzYwNmVhZmMxXkEyXkFqcGdeQXVyNDgwOTMyMTI@._V1_.jpg,John Schultz,Tiffany Paulsen,Nikki Hahn|Sabrina Carpenter|Sofia Carson,Adventure|Comedy|Family
Banana in a Nutshell,2005,"An intimate portrait of a Chinese-European couple in New Zealand, and their journey to get a blessing for marriage from traditional Chinese parents.","An intimate portrait of a Chinese-European couple in New Zealand, and their journey to get a blessing for marriage from traditional Chinese parents.",tt1537196,0,6vgD78Z6ut4,6.6,https://m.media-amazon.com/images/M/MV5BMjM2NTExNzgyMl5BMl5BanBnXkFtZTgwNjQxNDA2MDE@._V1_.jpg,Roseanne Liang,Roseanne Liang,Roseanne Liang,Documentary
Hostiles,2017,"In 1892, after nearly two decades of fighting the Cheyenne, the Apache, and the Comanche natives, the United States Cavalry Captain and war hero, Joseph Blocker, is ordered to escort the ailing Cheyenne chief, Yellow Hawk--his most despised enemy--to his ancestral home in Montana's Valley of the Bears. Nauseated with a baleful anger, Joseph's unwelcome final assignment in the feral American landscape is further complicated, when the widowed settler, Rosalie Quaid, is taken in by the band of soldiers, as aggressive packs of marauding Comanches who are still on the warpath, are thirsty for blood. In a territory crawling with hostiles, can the seasoned Captain do his duty one last time?","In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",tt5478478,134,1M5cj4UmscE,7.3,https://m.media-amazon.com/images/M/MV5BNjFhZjM4ZDYtMGRjYi00Yzc2LWExYmEtMDQ3NzA4ODU4YTljXkEyXkFqcGdeQXVyNjkwMzU3NDI@._V1_.jpg,Scott Cooper,Scott Cooper,Ava Cooper|Rosamund Pike|Scott Shepherd,Adventure|Drama|Western
Maze Runner: The Death Cure,2018,"In the epic finale to The Maze Runner Saga, Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary last city, a WCKD controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get the answers to the questions the Gladers have been asking since they first arrived in the maze. Will Thomas and the crew make it out alive? Or will Ava Paige get her way?",Young hero Thomas embarks on a mission to find a cure for a deadly disease known as &quot;The Flare&quot;.,tt4500922,141,wnE_y4vN9nQ,6.5,https://m.media-amazon.com/images/M/MV5BMTYyNzk3MDc2NF5BMl5BanBnXkFtZTgwMDk3OTM1NDM@._V1_.jpg,Wes Ball,T.S. Nowlin,Dylan O'Brien|Kaya Scodelario|Ki Hong Lee,Action|Sci-Fi|Thriller
Den of Thieves,2018,A gritty L.A crime saga which follows the intersecting and often personally connected lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank of downtown Los Angeles.,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,tt1259528,140,FKd_ks0rdAM,7.0,https://m.media-amazon.com/images/M/MV5BMzYyODcwMDAyM15BMl5BanBnXkFtZTgwOTA4MjIwNDI@._V1_.jpg,Christian Gudegast,Christian Gudegast,Gerard Butler|Pablo Schreiber,Action|Crime|Drama
V.I.P.,2017,"The son (Lee Jong-Suk) of a high-ranking North Korean official is suspected of committing serial murders around the world. To stop the killer, South Korea, North Korea and Interpol chase after him.","The son (Lee Jong-Suk) of a high-ranking North Korean official is suspected of committing serial murders around the world. To stop the killer, South Korea, North Korea and Interpol chase after him.",tt6413410,128,dwRkl2BjtGQ,6.4,https://m.media-amazon.com/images/M/MV5BMzkzMzc1ODAtMTU3Yi00Yjk5LWJmOGUtYThjMWRhNWRjNDUzXkEyXkFqcGdeQXVyNDcyMjQ4MzU@._V1_.jpg,Hoon-jung Park,Hoon-jung Park,Dong-Gun Jang|Jong-Suk Lee|Myung-Min Kim,Action|Crime|Thriller
Walk Hard: The Dewey Cox Story,2007,"The up-and-down-and-up-again story of musician Dewey Cox, whose songs would change a nation. On his rock 'n roll spiral, Cox sleeps with 411 women, marries three times, has 36 kids, stars in his own 70s TV show, collects friends ranging from Elvis to the Beatles to a chimp, and gets addicted to - and then kicks - every drug known to man; but despite it all, Cox grows into a national icon and eventually earns the love of a good woman - longtime backup singer Darlene.",Singer Dewey Cox overcomes adversity to become a musical legend.,tt0841046,96,4yzjtnj8Y3U,6.8,https://m.media-amazon.com/images/M/MV5BMTk5NDMyNTk0N15BMl5BanBnXkFtZTcwMTQ4MDUzMw@@._V1_.jpg,Jake Kasdan,Judd Apatow,David Krumholtz|Jenna Fischer|John C. Reilly,Comedy|Drama|Music
Freaky Friday,2003,"The wide generation gap between Tess Coleman and her teenage daughter Anna is more than evident. They simply cannot understand each other's preferences. On a Thursday night they have a big argument in a Chinese restaurant. Both receive a fortune cookie each from the restaurant owner's mother which causes them to switch bodies next day. As they adjust with their new personalities, they begin to understand each other more and eventually it's the mutual self-respect that sorts the things out.","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",tt0322330,97,obOyYTto5Sg,6.2,https://m.media-amazon.com/images/M/MV5BYmU4NTk4OWYtMjE4My00MGVkLTgwY2EtZTZjN2YyOGFiMDQ0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Mark Waters,Mary Rodgers,Jamie Lee Curtis|Lindsay Lohan,Comedy|Family|Fantasy
Perfect Strangers,2017,"In the same night that happens a blood red moon, some longtime friends reunite to dinner: the group is formed by plastic surgeon Alfonso and his wife, psychologist Eva, who are the hosts of the dinner; lawyers Antonio and his wife Ana; taxi driver Eduardo and his young and recent wife, veterinary Blanca; and finally Pepe, a former gym teacher actually unemployed, who surprisingly appears without Lucía, his recent girlfriend. Motivated by Blanca, who have some suspects about the group by the behaviors of some of them, she proposes a game where all diners leave their cell phones on the table, at the condition to say to everyone the contents of all text and voice messages. Starting like an innocent game, the progressive revelation of secrets as they appear cause a series the events each time more dramatics: Alfonso suspects that Eva has an affair, Ana thinks wrongly that Antonio is homosexual, Blanca realizes a horrible side about her marriage with Eduardo, and Pepe tries to keep hidden ...","Seven friends gather for dinner and decide to play a game in which all incoming messages and calls will be on display for the entire group, leading to a series of revelations that gradually unravels their 'normal' lives.",tt6101820,97,-lOUnBsjGuY,7.0,https://m.media-amazon.com/images/M/MV5BMDMzMThjZDgtYjhmNy00M2M3LWJlMGQtMzA5NTlhNWNmMDU3XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,Álex de la Iglesia,Álex de la Iglesia,Belén Rueda|Eduard Fernández,Comedy|Drama
Paterno,2018,"The film centers on Joe Paterno, who, after becoming the winningest coach in college football history, is embroiled in Penn State's Jerry Sandusky sexual abuse scandal, challenging his legacy and forcing him to face questions of institutional failure regarding the victims.","The film centers on Joe Paterno, who after becoming the most successful coach in college football history, is embroiled in Penn State's Jerry Sandusky sexual abuse scandal, challenging his ...",tt2388986,105,scI7dYdlzuY,6.6,https://m.media-amazon.com/images/M/MV5BNDVhZDQzMWQtOGE4Yy00MDY5LWFmMDktZjk2Mzk3NjY3MmY3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,Barry Levinson,Debora Cahn,Al Pacino|Kathy Baker|Kenneth Maharaj,Biography|Drama
Shirley: Visions of Reality,2013,"13 of Edward Hopper's paintings are brought alive by the film, telling the story of a woman, whose thoughts, emotions and contemplations let us observe an era in American history. Shirley is a woman in America in the 1930s, '40s, '50s, and early '60s. A woman who would like to influence the course of history with her professional and socio political involvement.","13 of Edward Hopper's paintings are brought alive by the film, telling the story of a woman, whose thoughts, emotions and contemplations let us observe an era in American history. Shirley ...",tt2636806,92,rcQ4JKxxukY,6.5,https://m.media-amazon.com/images/M/MV5BMzhlZWE4NWYtMWViYi00ZmMxLTkxMjctNDg1YTBjOGEyNmRiXkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_.jpg,Gustav Deutsch,Gustav Deutsch,Christoph Bach|Florentín Groll|Stephanie Cumming,Action|Comedy
5 Centimeters Per Second,2007,"Takaki and Akari are two classmates in elementary school. During their time together they have become close friends. Their relationship is tested when Akari moves to another city because of her parents' jobs. Both of them struggle to keep their friendship alive, as time and distance slowly pulls them apart. When Takaki finds out that he is moving further away, he decides to visit Akari one last time.","Told in three interconnected segments, we follow a young man named Takaki through his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love.",tt0983213,63,SzAO_NeCmkM,7.7,https://m.media-amazon.com/images/M/MV5BODJhZDU1MDYtMDQ0NS00N2JmLWI2ZDAtMGNmN2RmNWJhNzQ5L2ltYWdlXkEyXkFqcGdeQXVyNjY1OTY4MTk@._V1_.jpg,Makoto Shinkai,Makoto Shinkai,Kenji Mizuhashi|Yoshimi Kondou,Action
Faces Places,2017,"Agnes Varda, one of the leading lights of France's honored French New Wave cinema era, and professional photographer and muralist, J.R., partake on a special art project. Together, they travel around France in a special box truck equipped as a portable photo booth and traveling printing facility as they take photographs of people around the country. With that inspiration, they also create special colossal mural pictures of individuals, communities and places they want to honor and celebrate. Along the way, the old cinematic veteran and the young artistic idealist enjoy an odd friendship as they chat and explore their views on the world as only they can.",Director Agnes Varda and photographer/muralist J.R. journey through rural France and form an unlikely friendship.,tt5598102,89,2rKZcAiLHlY,8.0,https://m.media-amazon.com/images/M/MV5BMmUwMzJkODEtOTZjNy00ZWNkLWE4ZDItYzcyYzA2OGJhMjYwXkEyXkFqcGdeQXVyNjc0MzY3NTA@._V1_.jpg,JR,JR,Agnès Varda|Jeannine Carpentier|JR,Documentary
The Post,2017,"When American military analyst, Daniel Ellsberg, realizes to his disgust the depths of the US government's deceptions about the futility of the Vietnam War, he takes action by copying top-secret documents that would become the Pentagon Papers. Later, Washington Post owner, Kay Graham, is still adjusting to taking over her late husband's business when editor Ben Bradlee discovers the New York Times has scooped them with an explosive expose on those papers. Determined to compete, Post reporters find Ellsberg himself and a complete copy of those papers. However, the Post's plans to publish their findings are put in jeopardy with a Federal restraining order that could get them all indicted for Contempt. Now, Kay Graham must decide whether to back down for the safety of her paper or publish and fight for the Freedom of the Press. In doing so, Graham and her staff join a fight that would have America's democratic ideals in the balance.",A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between the press and the government.,tt6294822,116,nrXlY6gzTTM,7.2,https://m.media-amazon.com/images/M/MV5BMjQyMjEwOTIwNV5BMl5BanBnXkFtZTgwOTkzNTMxNDM@._V1_.jpg,Steven Spielberg,Liz Hannah,Meryl Streep|Sarah Paulson|Tom Hanks,Biography|Drama|History
The Anthem of the Heart,2017,"Takumi is on his class' community outreach group. His teacher assigns more students to the group including a student who, due to a mishap, has foregone speaking. The class has to perform a musical, but volunteers brave enough to perform are hard to come by. The reluctance slowly begins to wash away when the aforementioned girl makes an effort to perform. As the day of the performance approaches will the students be able to overcome their reluctance and go for it?","Takumi is on his class' community outreach group. His teacher assigns more students to the group including a student who, due to a mishap, has foregone speaking. The class has to perform a ...",tt6738046,119,EnbgMjdguxI,6.2,https://m.media-amazon.com/images/M/MV5BMWQwNWU0YzYtNGQ5OS00ZGNkLTlmYzItYWViZmExZDRhYjIwXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_.jpg,Naoto Kumazawa,Yukiko Manabe,Anna Ishii|Tsunaki Fukushima|Yoshiyoshi Arakawa,Animation|Drama|Family
